run_id,prompt_language,task,prompt_condition,model,requested_model,resolved_model,temperature,top_p,max_output_tokens,seed,config_name,config_version,prompt_path,prompt_sha256,done,n_trials,parse_success_rate,invalid_response_count,source_path,adjusted_average_pumps,advantageous_choice_rate,average_earning_per_balloon,average_net_outcome,average_pumps,average_reward_per_trial,deck_A_rate,deck_B_rate,deck_C_rate,deck_D_rate,directed_exploration,exploration_rate,explosion_rate,horizon_effect,learning_curve_change,learning_slope,n_balloons,n_games,net_score,post_explosion_adjustment,post_loss_switching_rate,random_exploration_effect,switching_rate
en:horizon:baseline:20260708,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260708,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,E:\UoE\IPP\project\outputs\formal_v01\horizon_baseline_seed-20260708.json,,,,,,54.21333333333333,,,,,0.35,0.10714285714285714,,-0.05,,,,40,,,,0.36819275461804457,0.4414715719063545
en:horizon:baseline:20260709,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260709,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,E:\UoE\IPP\project\outputs\formal_v01\horizon_baseline_seed-20260709.json,,,,,,52.056666666666665,,,,,0.6,0.06428571428571428,,-0.1,,,,40,,,,0.34201221459846365,0.3779264214046823
en:horizon:baseline:20260710,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260710,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,E:\UoE\IPP\project\outputs\formal_v01\horizon_baseline_seed-20260710.json,,,,,,53.13,,,,,0.45,0.07142857142857142,,0.1,,,,40,,,,0.06556158663626155,0.4280936454849498
en:horizon:baseline:20260711,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260711,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,E:\UoE\IPP\project\outputs\formal_v01\horizon_baseline_seed-20260711.json,,,,,,50.54,,,,,0.5,0.11428571428571428,,0.0,,,,40,,,,3.9259408229945225,0.44481605351170567
en:horizon:baseline:20260712,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260712,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,E:\UoE\IPP\project\outputs\formal_v01\horizon_baseline_seed-20260712.json,,,,,,54.87,,,,,0.7,0.11428571428571428,,-0.09999999999999999,,,,40,,,,-1.0438184775752624,0.43812709030100333
en:horizon:baseline:20260713,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260713,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,E:\UoE\IPP\project\outputs\formal_v01\horizon_baseline_seed-20260713.json,,,,,,54.526666666666664,,,,,0.6,0.1,,-0.05,,,,40,,,,-0.9272076430726339,0.45484949832775917
en:horizon:baseline:20260714,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260714,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,E:\UoE\IPP\project\outputs\formal_v01\horizon_baseline_seed-20260714.json,,,,,,54.24333333333333,,,,,0.55,0.09285714285714286,,0.0,,,,40,,,,0.3570412091503734,0.43478260869565216
en:horizon:baseline:20260715,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260715,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,E:\UoE\IPP\project\outputs\formal_v01\horizon_baseline_seed-20260715.json,,,,,,53.53666666666667,,,,,0.6,0.1357142857142857,,-0.09999999999999999,,,,40,,,,-0.35222630829365453,0.44816053511705684
en:horizon:baseline:20260716,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260716,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,E:\UoE\IPP\project\outputs\formal_v01\horizon_baseline_seed-20260716.json,,,,,,53.153333333333336,,,,,0.55,0.2,,0.0,,,,40,,,,-0.2653220931640168,0.45819397993311034
en:horizon:baseline:20260717,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260717,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,E:\UoE\IPP\project\outputs\formal_v01\horizon_baseline_seed-20260717.json,,,,,,48.64,,,,,0.65,0.12857142857142856,,0.0,,,,40,,,,0.21668656924991203,0.45484949832775917
en:horizon:baseline:20260718,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260718,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,E:\UoE\IPP\project\outputs\formal_v01\horizon_baseline_seed-20260718.json,,,,,,52.836666666666666,,,,,0.6,0.08571428571428572,,-0.1,,,,40,,,,-2.5084625914536525,0.4080267558528428
en:horizon:baseline:20260719,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260719,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,E:\UoE\IPP\project\outputs\formal_v01\horizon_baseline_seed-20260719.json,,,,,,53.586666666666666,,,,,0.4,0.11428571428571428,,-0.05,,,,40,,,,-0.7587428764963406,0.391304347826087
en:horizon:baseline:20260720,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260720,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,E:\UoE\IPP\project\outputs\formal_v01\horizon_baseline_seed-20260720.json,,,,,,50.156666666666666,,,,,0.45,0.12857142857142856,,-0.09999999999999999,,,,40,,,,0.4809150304766967,0.4180602006688963
en:horizon:baseline:20260721,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260721,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,E:\UoE\IPP\project\outputs\formal_v01\horizon_baseline_seed-20260721.json,,,,,,55.11333333333334,,,,,0.5,0.1357142857142857,,0.04999999999999999,,,,40,,,,1.761544427520516,0.4013377926421405
en:horizon:baseline:20260722,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260722,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,E:\UoE\IPP\project\outputs\formal_v01\horizon_baseline_seed-20260722.json,,,,,,52.093333333333334,,,,,0.5,0.15,,0.15000000000000002,,,,40,,,,1.4008860208744125,0.4414715719063545
